Title,ReviewText,Rating,SubmissionTime,UserNickname,ProductId,itemName
So modern looking,"[This review was collected as part of a promotion.] So far, with all the microwaves we’ve had in the last 17 years I think this is the 4th and our first LG brand, this thing really looks pretty and so modern cause it has WiFi connection. Aside from looks, the build is pretty solid, easy to install, heats up food so fast and alerts you on your phone when it’s done. Downside for me is, it really attracts finger prints smudges on the stainless and glass part and they’re very hard to take off. Other than that, so far so good. The question lies how long this will last.",5,2024-08-22T16:14:27.000+00:00,JayNC29,321666159,LG 1.8 cu. ft. 30 in. W Smart Over the Range Microwave Oven with EasyClean in PrintProof Stainless Steel 1000-Watt MVEM1825F - The Home Depot
,"When the delivery man arrived with new microwave, he knew it was too big, and wasn’t going to fit even though I gave exact measurements when ordered. Delivery men took away the old, working microwave and the new microwave was subsequently taken away (still in the box), now I have no microwave and a big hole in the wall where the original, working microwave was. They should have just re-installed the old one instead of taking it away. Home Depot’s remedy was to merely give a discount on another microwave. This was at the same time I purchased a $900. new LG stove from them. Their customer service needs serious improvement!",1,2024-08-14T18:06:35.000+00:00,Anna1999,321666159,LG 1.8 cu. ft. 30 in. W Smart Over the Range Microwave Oven with EasyClean in PrintProof Stainless Steel 1000-Watt MVEM1825F - The Home Depot
Same great microwave 12 years later,[This review was collected as part of a promotion.] I bought this microwave a month ago to replace a 12 year old LG microwave.  The installation was a breeze because the mounting was exactly the same as the old one so I was able to reuse the old bracket without moving it in the existing bolt holes in the cabinet. The microwave works great just like the old one did.,5,2024-07-27T03:02:12.000+00:00,Pschrad65,321666159,LG 1.8 cu. ft. 30 in. W Smart Over the Range Microwave Oven with EasyClean in PrintProof Stainless Steel 1000-Watt MVEM1825F - The Home Depot
,"Works well. The only items that could use improvement are that the under cabinet light gets very hot. (it is a halide lamp and not LED) and the touch pad is hard to see (it is not backlit or indirect lit).
It looks good and fits nicely in the space.",4,2024-07-10T15:49:24.000+00:00,WildWilly,321666159,LG 1.8 cu. ft. 30 in. W Smart Over the Range Microwave Oven with EasyClean in PrintProof Stainless Steel 1000-Watt MVEM1825F - The Home Depot
Spacious Microwave with great cooking options,"[This review was collected as part of a promotion.] Spacious microwave with great cooking options, I have used it daily with no problem.  I enjoy the chime notification rather than the buzzer on my previous microwave.",5,2024-06-29T20:37:16.000+00:00,Bethi,321666159,LG 1.8 cu. ft. 30 in. W Smart Over the Range Microwave Oven with EasyClean in PrintProof Stainless Steel 1000-Watt MVEM1825F - The Home Depot
Beautiful AND Efficient!,"[This review was collected as part of a promotion.] Replacing my microwave of 12 yrs with this sleek looking very efficient NEW LG microwave, has been heaven. It has ALL the features I wanted and more...loving it!",5,2024-06-29T18:02:38.000+00:00,SuzyKT,321666159,LG 1.8 cu. ft. 30 in. W Smart Over the Range Microwave Oven with EasyClean in PrintProof Stainless Steel 1000-Watt MVEM1825F - The Home Depot
Nice modern oven.,[This review was collected as part of a promotion.] Excellent microwave oven. Easy to use and install. Attractive addition to my kitchen.,5,2024-06-26T11:24:22.000+00:00,Gregg F,321666159,LG 1.8 cu. ft. 30 in. W Smart Over the Range Microwave Oven with EasyClean in PrintProof Stainless Steel 1000-Watt MVEM1825F - The Home Depot
Very satisfied!,[This review was collected as part of a promotion.] I have had my new microwave two weeks and love it.  I love all the features and the fit and the look.,5,2024-06-09T02:03:38.000+00:00,Judy 64,321666159,LG 1.8 cu. ft. 30 in. W Smart Over the Range Microwave Oven with EasyClean in PrintProof Stainless Steel 1000-Watt MVEM1825F - The Home Depot
Beautiful design,[This review was collected as part of a promotion.] As an vision challenge person I enjoy being able to see the display panel,5,2024-05-26T11:59:47.000+00:00,Hot nana,321666159,LG 1.8 cu. ft. 30 in. W Smart Over the Range Microwave Oven with EasyClean in PrintProof Stainless Steel 1000-Watt MVEM1825F - The Home Depot
Simple yet sophisticated,"We upgraded our stove and decided to upgrade our hood.  This LG product complimented the stove.  The ThinQ app connects easily and you can choose to have the light and fan come on with the stove burners.  The other features are easy to use.  The vent fans default to room venting but you can vent them to a ""chimney"" vent.  I found the underneath halogen bulb is HOT!  Too hot to the touch and inside the microwave heats up if the light is on.  I replaced it with an LED GY6.35 bulb.",5,2024-05-11T12:36:20.000+00:00,SEHale,321666159,LG 1.8 cu. ft. 30 in. W Smart Over the Range Microwave Oven with EasyClean in PrintProof Stainless Steel 1000-Watt MVEM1825F - The Home Depot
"Beautiful, easy to use, lots of friendly features!","[This review was collected as part of a promotion.] This just made life easier! I’ve owned this for over a month and it’s used several times every day. This is the first microwave I’ve owned where I actually use all the features. It’s easy to figure out, and has so many useful and wonderful features that it’s hard to choose my favorite. The reheat is a feature I’m surprised I use, but it is so smart and senses before it heats. An even heat/cook. I use the app, which is another surprise. But it makes being a busy mom a little easier. Love that the vent turns on when I turn the stove burner on, too! The family has yet to make a mess because with the sensing features it is not likely to overcook or boil over and make a mess. The buttons are like a touch screen, so when I wipe the surface there’s no accidental start up yet all it takes is a gentle touch of the finger to start. A very user friendly microwave considering all the features. Highly recommend.",5,2024-04-11T22:04:26.000+00:00,CookieMom,321666159,LG 1.8 cu. ft. 30 in. W Smart Over the Range Microwave Oven with EasyClean in PrintProof Stainless Steel 1000-Watt MVEM1825F - The Home Depot
Great purchase,"[This review was collected as part of a promotion.] I bought it last month and it has been the best investment, what I like the most is that it has a car turned off for the air. I definitely recommend it very much.",5,2024-03-22T20:02:55.000+00:00,Anonymous,321666159,LG 1.8 cu. ft. 30 in. W Smart Over the Range Microwave Oven with EasyClean in PrintProof Stainless Steel 1000-Watt MVEM1825F - The Home Depot
Good features,[This review was collected as part of a promotion.] I bought this and very happy with brand but the structure is plastic,4,2024-03-13T01:55:24.000+00:00,Len Len,321666159,LG 1.8 cu. ft. 30 in. W Smart Over the Range Microwave Oven with EasyClean in PrintProof Stainless Steel 1000-Watt MVEM1825F - The Home Depot
Beautiful designs and top notch features,"[This review was collected as part of a promotion.] Dark stainless steel finish is beautiful, many settings, and the auto cook functions ACTUALLY WORK",5,2024-03-08T16:03:19.000+00:00,Austmcd2013,321666159,LG 1.8 cu. ft. 30 in. W Smart Over the Range Microwave Oven with EasyClean in PrintProof Stainless Steel 1000-Watt MVEM1825F - The Home Depot
Great Microwave,"Purchased this microwave in January, extremely pleased with it. Great features, excellent addition to our kitchen.",5,2024-03-05T17:28:39.000+00:00,MAP46,321666159,LG 1.8 cu. ft. 30 in. W Smart Over the Range Microwave Oven with EasyClean in PrintProof Stainless Steel 1000-Watt MVEM1825F - The Home Depot
Great Features Nice Looking Product,[This review was collected as part of a promotion.] I bought this a month ago or so and sooo happy I have a lmicrowave again as a Senior Citizen! Product is great! Still learning it's functions. Installation was great and installers were nice and courteous and helpful!!,5,2024-03-02T16:26:16.000+00:00,MisterEd,321666159,LG 1.8 cu. ft. 30 in. W Smart Over the Range Microwave Oven with EasyClean in PrintProof Stainless Steel 1000-Watt MVEM1825F - The Home Depot
Great Microwave,"[This review was collected as part of a promotion.] This microwave was installed January 13th, we have been extremely pleased with item. Easy to use cooks or reheats food to perfection.",5,2024-02-09T16:53:58.000+00:00,MAP46,321666159,LG 1.8 cu. ft. 30 in. W Smart Over the Range Microwave Oven with EasyClean in PrintProof Stainless Steel 1000-Watt MVEM1825F - The Home Depot
Great product,"I have had this since January 23rd, great quality, easy to use. Highly recommended.",5,2024-02-04T20:15:13.000+00:00,MAP46,321666159,LG 1.8 cu. ft. 30 in. W Smart Over the Range Microwave Oven with EasyClean in PrintProof Stainless Steel 1000-Watt MVEM1825F - The Home Depot
Over the range microwave,"We bought our over the range microwave about six weeks ago. We are very happy with our purchase. The microwave is competitively priced, has some great features and works perfectly.",5,2024-02-02T16:33:16.000+00:00,TimO75,321666159,LG 1.8 cu. ft. 30 in. W Smart Over the Range Microwave Oven with EasyClean in PrintProof Stainless Steel 1000-Watt MVEM1825F - The Home Depot
"Looks/work great, but lighting could be improved","[This review was collected as part of a promotion.] We bought this a few weeks ago and are very happy with the look and functionality. There are only two drawbacks that we discovered after installation. The light on the bottom to illumonate the cooktop below isn’t as bright as we’d hoped. Also, the interior lights are super tiny and with the dark interior, you can barely see what you’re cooking from the front.",3,2024-01-28T19:01:35.000+00:00,mluci,321666159,LG 1.8 cu. ft. 30 in. W Smart Over the Range Microwave Oven with EasyClean in PrintProof Stainless Steel 1000-Watt MVEM1825F - The Home Depot
Excellent above oven Microwave,"Easy to install, nice looking and the control panel had the best look and feel of any similar device I saw. Most, if not all, had adhesive overlays as there button interface, very tacky looking and poorly manufactured. The functions of the microwave were also top notch. The sensor cooking was spot on and the +30 second button is a lifesaver. Vent fan is rather loud but it moves air quite well.",5,2024-01-20T17:42:14.000+00:00,68DJR,321666159,LG 1.8 cu. ft. 30 in. W Smart Over the Range Microwave Oven with EasyClean in PrintProof Stainless Steel 1000-Watt MVEM1825F - The Home Depot
Microwave review,"[This review was collected as part of a promotion.] Overall good 
Wish lights under oven were brighter 
Needs a third speed on fan",4,2024-01-13T18:32:13.000+00:00,Stevegrip,321666159,LG 1.8 cu. ft. 30 in. W Smart Over the Range Microwave Oven with EasyClean in PrintProof Stainless Steel 1000-Watt MVEM1825F - The Home Depot
Great features!,[This review was collected as part of a promotion.] I purchased this about a month ago and I absolutely LOVE it!  It does what I like and more.  I do not have to press many buttons because of the presets and they work perfectly!`,5,2024-01-08T16:02:48.000+00:00,yda4vra,321666159,LG 1.8 cu. ft. 30 in. W Smart Over the Range Microwave Oven with EasyClean in PrintProof Stainless Steel 1000-Watt MVEM1825F - The Home Depot
Very nice!,"[This review was collected as part of a promotion.] Looks great and was easy to install.  There's a bit more flex in the door hinges than expected; feels a bit flimsy.  Overall, I am happy with my purchase.",4,2024-01-07T15:01:03.000+00:00,BDubYew,321666159,LG 1.8 cu. ft. 30 in. W Smart Over the Range Microwave Oven with EasyClean in PrintProof Stainless Steel 1000-Watt MVEM1825F - The Home Depot
,We are very happy with our LG Microwave. We upgraded from a 23 year old model. Very functional and stylish. Only suggestion is to use LED light on the underside. One you used is not bright and gets very hot. I replaced with LED.,5,2023-12-20T16:06:32.000+00:00,P Floyd,321666159,LG 1.8 cu. ft. 30 in. W Smart Over the Range Microwave Oven with EasyClean in PrintProof Stainless Steel 1000-Watt MVEM1825F - The Home Depot
Great Microwave!,"Bought this a month ago.  Sleek, pleasing to the eye, and works great.  Love how it syncs with the oven.",5,2023-12-02T14:50:45.000+00:00,SandraD1,321666159,LG 1.8 cu. ft. 30 in. W Smart Over the Range Microwave Oven with EasyClean in PrintProof Stainless Steel 1000-Watt MVEM1825F - The Home Depot
Beautiful range microwave to fit budget,[This review was collected as part of a promotion.] We recently purchased a home and are slowly upgrading all the appliances when financially able. We enjoy the dark stainless fridge and dishwasher. We just purchased the over the range microwave but the dark stainless steel was more expensive for the same unit so purchased the silver and still fits in nicely. Love the look of the flat front and glass buttons giving it a a sleek look. Next up the lg gas range!,5,2023-11-20T16:12:14.000+00:00,Andrew45,321666159,LG 1.8 cu. ft. 30 in. W Smart Over the Range Microwave Oven with EasyClean in PrintProof Stainless Steel 1000-Watt MVEM1825F - The Home Depot
Great features and easy to use!,I simply love my stove and microwave. They look so beautiful together and easy to clean as well as easy to use.,5,2023-10-27T16:13:02.000+00:00,Isa60,321666159,LG 1.8 cu. ft. 30 in. W Smart Over the Range Microwave Oven with EasyClean in PrintProof Stainless Steel 1000-Watt MVEM1825F - The Home Depot
Love it!,[This review was collected as part of a promotion.] Love the sleekness of this microwave. I just wish it didn’t chime so much & also wish the panel was lit in the dark.,4,2023-10-24T12:12:33.000+00:00,Gramas house,321666159,LG 1.8 cu. ft. 30 in. W Smart Over the Range Microwave Oven with EasyClean in PrintProof Stainless Steel 1000-Watt MVEM1825F - The Home Depot
"Like it, but it's not perfect","Good looking and has features that work well.  Defrost, reheat, and cook by item are all implemented well.  The exterior and interior are easy to clean.  Some downsides though:  The downfacing surface (stove) light is not LED (as is the interior light), it gets quite hot.  The fan which operates whenever the oven is used is the same one that is for the filtered stove-top venting.  It is quite noisy.  Installation was less than 2 hours, instructions were mostly helpful, template was accurate but could have had a bit more information.",4,2023-10-23T03:23:53.000+00:00,MayorOfPR,321666159,LG 1.8 cu. ft. 30 in. W Smart Over the Range Microwave Oven with EasyClean in PrintProof Stainless Steel 1000-Watt MVEM1825F - The Home Depot
Microwave and exhaust vent in one,Great microwave and vent hood. Very powerful. Very pleased with this purchase. Exactly what I needed.,5,2023-10-06T22:21:23.000+00:00,D Sarzynski,321666159,LG 1.8 cu. ft. 30 in. W Smart Over the Range Microwave Oven with EasyClean in PrintProof Stainless Steel 1000-Watt MVEM1825F - The Home Depot
Range Microwave,"[This review was collected as part of a promotion.] Outstanding product. Looks great, functions even better. Very nice features on it.",5,2023-10-01T16:47:47.000+00:00,BK2970,321666159,LG 1.8 cu. ft. 30 in. W Smart Over the Range Microwave Oven with EasyClean in PrintProof Stainless Steel 1000-Watt MVEM1825F - The Home Depot
Fingerprints,[This review was collected as part of a promotion.] Don't like the black control panel. Shows fingerprints bad.,4,2023-09-24T18:26:43.000+00:00,Deadfish,321666159,LG 1.8 cu. ft. 30 in. W Smart Over the Range Microwave Oven with EasyClean in PrintProof Stainless Steel 1000-Watt MVEM1825F - The Home Depot
Great product,"[This review was collected as part of a promotion.] Best microwave we have ever owned. This is our second LG, we handed our first one down to our daughter when she moved into her new house. Lots of features that you just never thought of but nice to have.",5,2023-08-20T16:28:39.000+00:00,Rubert,321666159,LG 1.8 cu. ft. 30 in. W Smart Over the Range Microwave Oven with EasyClean in PrintProof Stainless Steel 1000-Watt MVEM1825F - The Home Depot
Good Deal,[This review was collected as part of a promotion.] Purchased this range hood microwave on June 8 and had issues with the delivery and installation but all is good now,4,2023-07-10T16:04:38.000+00:00,Mjk1961,321666159,LG 1.8 cu. ft. 30 in. W Smart Over the Range Microwave Oven with EasyClean in PrintProof Stainless Steel 1000-Watt MVEM1825F - The Home Depot
Beautiful OTR Microwave,The first microwave delivered was defective. LG sent out a serviceman in less than 24 hours after the install. Determined immediately that it needed to be replaced and had me another one in no time. The second one was installed and has been working perfectly. Absolutely LOVE this microwave and highly recommend it! Should be getting a new LG range this next week. All kitchen and laundry appliances are LG and have not had a single problem with any of them.,5,2023-07-06T22:57:34.000+00:00,MommaZ,321666159,LG 1.8 cu. ft. 30 in. W Smart Over the Range Microwave Oven with EasyClean in PrintProof Stainless Steel 1000-Watt MVEM1825F - The Home Depot
It sings too,"[This review was collected as part of a promotion.] We purchased our LG microwave as part of an LG stainless-steel finger print resistant suite. It is so nice to enjoy the unique settings this microwave offers. My wife uses the popcorn setting as an example. She says every bag of popcorn gets done perfectly, no kernels go unpopped which is very nice. It looks so nice right above our LG stainless steel range. We did a lot of comparing of all the major brand kitchen suites and there was no doubt that the LG suite was for above all the others in quality and appeal. We are so glad we purchased all our appliances for our new kitchen from LG! Let me add that the individual tones the LG microwave plays for each operation is unique and makes using much more enjoyable! We would only buy LG as they are the best brand in the market!",5,2023-06-27T17:16:18.000+00:00,Our LG microwave,321666159,LG 1.8 cu. ft. 30 in. W Smart Over the Range Microwave Oven with EasyClean in PrintProof Stainless Steel 1000-Watt MVEM1825F - The Home Depot
Also nice looking,Look at it... Makes you want TO BUY AND HAVE ONE INSTALLED,5,2023-06-06T16:39:54.000+00:00,Simply the best,321666159,LG 1.8 cu. ft. 30 in. W Smart Over the Range Microwave Oven with EasyClean in PrintProof Stainless Steel 1000-Watt MVEM1825F - The Home Depot
Microwave - LG Bob,Great microwave. Blends in well with all the existing LG appliances we purchased. It had the ability to connect to existing outside venting. It is very quite while operating. The stove lighting is perfect. It completely lights up the top of the LG stove we purchased. We also can use the light in the dim mode as a night light. The two speed exhaust fan works flawless and is quieter than initially expected. It heats food evenly and the defrost cycle works very well. Thus unit also supports LG ThinkQ.,5,2023-04-17T18:56:18.000+00:00,HomeDepotCustomer,321666159,LG 1.8 cu. ft. 30 in. W Smart Over the Range Microwave Oven with EasyClean in PrintProof Stainless Steel 1000-Watt MVEM1825F - The Home Depot
Good quality at a fair price,"Quality and well designed product
I expect that will last longer while providing great features",5,2023-04-16T16:14:13.000+00:00,EdOwner23,321666159,LG 1.8 cu. ft. 30 in. W Smart Over the Range Microwave Oven with EasyClean in PrintProof Stainless Steel 1000-Watt MVEM1825F - The Home Depot
Microwave over the range,"It looks good but it’s noisy, I’m not sure it’s okay or it’s defective",3,2023-03-27T17:04:38.000+00:00,Thanh Tran,321666159,LG 1.8 cu. ft. 30 in. W Smart Over the Range Microwave Oven with EasyClean in PrintProof Stainless Steel 1000-Watt MVEM1825F - The Home Depot
Smile when I hear the chime on new microwave,"[This review was collected as part of a promotion.] Bought recently. It has a pretty musical chime rather than a ding. Its stainless finger proof feature is great. I wish the push feature buttons would light up because I have to turn on kitchen over head lights to read them.  Otherwise, it’s a functional microwave and works as expected.",4,2023-03-03T15:59:13.000+00:00,EstherAz,321666159,LG 1.8 cu. ft. 30 in. W Smart Over the Range Microwave Oven with EasyClean in PrintProof Stainless Steel 1000-Watt MVEM1825F - The Home Depot
,Had an issue with the microwave shutting off for no reason and having to reboot it more than once.,3,2025-01-17T19:50:35.000+00:00,C,321666159,LG 1.8 cu. ft. 30 in. W Smart Over the Range Microwave Oven with EasyClean in PrintProof Stainless Steel 1000-Watt MVEM1825F - The Home Depot
,,5,2025-01-15T15:40:34.000+00:00,LAURIE,321666159,LG 1.8 cu. ft. 30 in. W Smart Over the Range Microwave Oven with EasyClean in PrintProof Stainless Steel 1000-Watt MVEM1825F - The Home Depot
,Love it! Fits great in the space!,5,2025-01-15T15:32:36.000+00:00,MARTIN,321666159,LG 1.8 cu. ft. 30 in. W Smart Over the Range Microwave Oven with EasyClean in PrintProof Stainless Steel 1000-Watt MVEM1825F - The Home Depot
,,5,2025-01-15T14:27:20.000+00:00,HomeDepotCustomer,321666159,LG 1.8 cu. ft. 30 in. W Smart Over the Range Microwave Oven with EasyClean in PrintProof Stainless Steel 1000-Watt MVEM1825F - The Home Depot
BROKEN LIGHT AND NO REPAIR,"I have a brand new LG microwave that we bought in May, 2024.Within 4 months the light wasn't functioning.  We have had LG service people come 3 times plus a 4th appointment that they canceled.They have ordered the parts and they have been wrong twice.The microwave is so new that they can't even get replacement parts!All this inconvenience for my BRAND NEW MICROWAVE.I want the defective one replaced with a NEW non-defective one!The HD Manager stated that there is nothing they can do to help.",1,2025-01-15T13:40:42.000+00:00,Sharon,321666159,LG 1.8 cu. ft. 30 in. W Smart Over the Range Microwave Oven with EasyClean in PrintProof Stainless Steel 1000-Watt MVEM1825F - The Home Depot
Everything,It took a while to get my microwave installed but once it was and I used it a few times I am very happy with it.,5,2025-01-12T01:17:05.000+00:00,Mimi866,321666159,LG 1.8 cu. ft. 30 in. W Smart Over the Range Microwave Oven with EasyClean in PrintProof Stainless Steel 1000-Watt MVEM1825F - The Home Depot
,Easy assembly and installation,5,2025-01-10T21:10:59.000+00:00,HomeDepotCustomer,321666159,LG 1.8 cu. ft. 30 in. W Smart Over the Range Microwave Oven with EasyClean in PrintProof Stainless Steel 1000-Watt MVEM1825F - The Home Depot
,,4,2025-01-08T18:06:40.000+00:00,HomeDepotCustomer,321665740,LG 1.8 cu. ft. 30 in. W Smart Over the Range Microwave Oven with EasyClean in PrintProof Stainless Steel 1000-Watt MVEM1825F - The Home Depot
,,5,2025-01-08T15:29:40.000+00:00,CHARLES,321665740,LG 1.8 cu. ft. 30 in. W Smart Over the Range Microwave Oven with EasyClean in PrintProof Stainless Steel 1000-Watt MVEM1825F - The Home Depot
Great Microwave,"We are impressed with the power level, ergonomic handle, size and alert sounds.",5,2025-01-05T17:46:26.000+00:00,Leef49,321666159,LG 1.8 cu. ft. 30 in. W Smart Over the Range Microwave Oven with EasyClean in PrintProof Stainless Steel 1000-Watt MVEM1825F - The Home Depot
Wouldn't recommend,"We bought this unit in April 2023, and it already has stopped heating up food. Very disappointing to spend $300 on this and it's already needing a repair and if course the warranty only covers a year. But prior to this the unit seemed to work well.",1,2025-01-04T22:26:45.000+00:00,Jarrod,321666159,LG 1.8 cu. ft. 30 in. W Smart Over the Range Microwave Oven with EasyClean in PrintProof Stainless Steel 1000-Watt MVEM1825F - The Home Depot
Thankful for this microwave!,"Looks wonderful, works great, fit perfectly into the space above the stove!",5,2025-01-03T00:22:41.000+00:00,Christian Home,321666159,LG 1.8 cu. ft. 30 in. W Smart Over the Range Microwave Oven with EasyClean in PrintProof Stainless Steel 1000-Watt MVEM1825F - The Home Depot
,"Another outstanding LG product. As with all over the stove microwaves, aligning the mounting holes was challenging. It would be great if LG would include some dye markers for the mounting screws so the alignment was simpler.",5,2025-01-02T15:58:06.000+00:00,RICHARD,321666159,LG 1.8 cu. ft. 30 in. W Smart Over the Range Microwave Oven with EasyClean in PrintProof Stainless Steel 1000-Watt MVEM1825F - The Home Depot
,,4,2025-01-02T12:56:07.000+00:00,MATT,321665740,LG 1.8 cu. ft. 30 in. W Smart Over the Range Microwave Oven with EasyClean in PrintProof Stainless Steel 1000-Watt MVEM1825F - The Home Depot
,Installers were nice and helpful.   Product works great.,5,2025-01-01T21:33:18.000+00:00,DebW4444,321666159,LG 1.8 cu. ft. 30 in. W Smart Over the Range Microwave Oven with EasyClean in PrintProof Stainless Steel 1000-Watt MVEM1825F - The Home Depot
,I love the look and how quiet the fan is. It's been wonderful how quiet it is.,5,2025-01-01T18:53:24.000+00:00,DOREE,321666159,LG 1.8 cu. ft. 30 in. W Smart Over the Range Microwave Oven with EasyClean in PrintProof Stainless Steel 1000-Watt MVEM1825F - The Home Depot
L.G. Products,"[This review was collected as part of a promotion.] L.G. is a great product. My microwave is hooked up to WiFi which is so helpful. My wife and I are a LG family. We have TV’s, washer and dryer and all work great .",5,2024-12-30T21:43:04.000+00:00,Barry72,321666159,LG 1.8 cu. ft. 30 in. W Smart Over the Range Microwave Oven with EasyClean in PrintProof Stainless Steel 1000-Watt MVEM1825F - The Home Depot
